Name	Profession
b'Leszek Miller'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Tadeusz Cyma\xc5\x84ski'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Boles\xc5\x82aw Piecha'	b'politycy'
b'Jan Bury'	b'politycy'
b'Bogdan Borusewicz'	b'politycy'
