Name	Profession
b'Janusz Lewandowski'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Wojciech Czuchnowski'	b'dziennikarze'
b'Wojciech Czuchnowski'	b'dziennikarze'
b'Dominika Wielowieyska'	b'dziennikarze'
