Name	Profession
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Tadeusz Rydzyk'	b'duchowni'
