Name	Profession
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Waldemar Pawlak'	b'politycy'
b'Waldemar Pawlak'	b'politycy'
b'Stanis\xc5\x82aw Rakoczy'	b'politycy'
b'Marek Sawicki'	b'politycy'
b'Marek Sawicki'	b'politycy'
b'Marek Sawicki'	b'politycy'
b'Marek Sawicki'	b'politycy'
b'Jan Bury'	b'politycy'
b'Pawe\xc5\x82 Kowal'	b'politycy'
b'Pawe\xc5\x82 Kowal'	b'politycy'
b'W\xc5\x82adys\xc5\x82aw Kosiniak-Kamysz'	b'lekarze'
