Name	Profession
b'Roman Dmowski'	b'politycy'
b'Tadeusz Mazowiecki'	b'politycy'
b'J\xc3\xb3zef Pi\xc5\x82sudski'	b'politycy'
b'J\xc3\xb3zef Pi\xc5\x82sudski'	b'politycy'
b'J\xc3\xb3zef Pi\xc5\x82sudski'	b'politycy'
b'J\xc3\xb3zef Pi\xc5\x82sudski'	b'politycy'
b'J\xc3\xb3zef Pi\xc5\x82sudski'	b'politycy'
b'J\xc3\xb3zef Pi\xc5\x82sudski'	b'politycy'
b'J\xc3\xb3zef Pi\xc5\x82sudski'	b'politycy'
b'J\xc3\xb3zef Pi\xc5\x82sudski'	b'politycy'
b'J\xc3\xb3zef Pi\xc5\x82sudski'	b'politycy'
b'J\xc3\xb3zef Pi\xc5\x82sudski'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Stefan Wyszy\xc5\x84ski'	b'duchowni'
