Name	Profession
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
b'Pawe\xc5\x82 Adamowicz'	b'politycy'
