Name	Profession
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
