prawnicy: Piotr Kownacki
prawnicy: Wojciech Cieślak
politycy: Jarosław Gowin
politycy: Tomasz Górski
duchowni: Józef Kupny
dziennikarze: Tomasz Machała
politycy: Antoni Macierewicz
politycy: Radosław Sikorski
politycy: Andrzej Wajda
prawnicy: Shirin Ebadi
politycy: Adam Hofman
dziennikarze: Tomasz Sekielski
politycy: Sławomir Nowak
politycy: Donald Tusk
politycy: Bogdan Zdrojewski
politycy: Paweł Olszewski
muzycy: Maciej Małecki
prawnicy: Bartosz Kownacki
dziennikarze: Adam Michnik
dziennikarze: Agata Młynarska
sportowcy: Kamil Stoch
sportowcy: Wojciech Fortuna
sportowcy: Justyna Kowalczyk
politycy: Jacek Kurski
politycy: Wojciech Olejniczak
dziennikarze: Piotr Kraśko
dziennikarze: Monika Olejnik
politycy: Leszek Miller
politycy: Stanisław Żelichowski
dziennikarze: Dominika Wielowieyska
aktorzy: David Copperfield
dziennikarze: Lena Kolarska-Bobińska
politycy: Joanna Kluzik-Rostkowska
politycy: Krystyna Szumilas
politycy: Michał Boni
politycy: Maciej Grabowski
prawnicy: Marcin Korolec
politycy: Andrzej Biernat
politycy: Joanna Mucha
politycy: Jacek Saryusz-Wolski
prawnicy: Zbigniew Ziobro
politycy: Beata Kempa
lekarze: Adam Maciejewski
aktorzy: Jan Pietrzak
dziennikarze: Anita Gargas
duchowni: Wiesław Mering
dziennikarze: Daniel Passent
politycy: Renata Beger
politycy: Michał Kamiński
politycy: Grzegorz Schetyna
politycy: Robert Tyszkiewicz
politycy: Hanna Gronkiewicz-Waltz
politycy: Rudolf Dassler
lekarze: Władysław Kosiniak-Kamysz
prawnicy: Jacek Dubois
duchowni: Grzegorz Wójcik
poeci: Andrzej Sieradzki
politycy: Janusz Wójcik
dziennikarze: Jan Wróbel
politycy: Józef Piłsudski
politycy: Wincenty Witos
muzycy: Andrzej Dąbrowski
politycy: Roman Dmowski
politycy: Sławomir Nitras
politycy: Stanisław Gawłowski
politycy: Małgorzata Gosiewska
poeci: Anna Stanisławska
dziennikarze: Wojciech Maziarski
dziennikarze: Dorota Kania
dziennikarze: Jerzy Targalski
dziennikarze: Paweł Lisicki
politycy: Stefan Meller
politycy: Paweł Graś
politycy: Tadeusz Mazowiecki
politycy: Wojciech Jaruzelski
politycy: Jerzy Ciemniewski
politycy: Aleksander Hall
politycy: Leszek Balcerowicz
duchowni: Konrad Krajewski
politycy: Anna Fotyga
politycy: Ronald Lauder
aktorzy: Artur Żmijewski
poeci: Adam Mickiewicz
politycy: Janusz Palikot
prawnicy: Maciej Bednarkiewicz
dziennikarze: Piotr Mucharski
dziennikarze: Józef Kloch
malarze: Jacek Malczewski
politycy: Julia Pitera
