Name	Profession
b'Donald Tusk'	b'politycy'
b'Tomasz Lenz'	b'politycy'
b'Andrzej Biernat'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Iwona \xc5\x9aledzi\xc5\x84ska-Katarasi\xc5\x84ska'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
