Name	Profession
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'W\xc5\x82adys\xc5\x82aw Kosiniak-Kamysz'	b'lekarze'
b'W\xc5\x82adys\xc5\x82aw Kosiniak-Kamysz'	b'lekarze'
b'W\xc5\x82adys\xc5\x82aw Kosiniak-Kamysz'	b'lekarze'
b'W\xc5\x82adys\xc5\x82aw Kosiniak-Kamysz'	b'lekarze'
b'W\xc5\x82adys\xc5\x82aw Kosiniak-Kamysz'	b'lekarze'
b'W\xc5\x82adys\xc5\x82aw Kosiniak-Kamysz'	b'lekarze'
b'W\xc5\x82adys\xc5\x82aw Kosiniak-Kamysz'	b'lekarze'
b'Marek Michalak'	b'muzycy'
