Name	Profession
b'Ryszard Bugaj'	b'politycy'
b'Ryszard Bugaj'	b'politycy'
b'Ryszard Bugaj'	b'politycy'
b'Jerzy Kropiwnicki'	b'politycy'
b'Leszek Balcerowicz'	b'politycy'
b'Jerzy Hausner'	b'politycy'
b'Zyta Gilowska'	b'politycy'
b'Marek Belka'	b'politycy'
b'Stanis\xc5\x82aw Kluza'	b'politycy'
b'Anna Zieli\xc5\x84ska-G\xc5\x82\xc4\x99bocka'	b'politycy'
b'Adam Glapi\xc5\x84ski'	b'politycy'
b'Jerzy Osiaty\xc5\x84ski'	b'politycy'
b'Witold Modzelewski'	b'prawnicy'
b'Robert Gwiazdowski'	b'prawnicy'
b'Witold D\xc4\x85browski'	b'poeci'
