Name	Profession
b'Tomasz Borkowski'	b'aktorzy'
b'Tomasz Borkowski'	b'aktorzy'
b'Tomasz Borkowski'	b'aktorzy'
b'Tomasz Borkowski'	b'aktorzy'
b'Tomasz Borkowski'	b'aktorzy'
b'Tomasz Borkowski'	b'aktorzy'
b'Tomasz Borkowski'	b'aktorzy'
b'Tomasz Borkowski'	b'aktorzy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Jakub Szulc'	b'politycy'
