Name	Profession
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Pawe\xc5\x82 Piskorski'	b'politycy'
b'Andrzej Urba\xc5\x84ski'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
