Name	Profession
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Hanna Gronkiewicz-Waltz'	b'politycy'
b'Monika Olejnik'	b'dziennikarze'
b'J\xc3\xb3zef Tischner'	b'duchowni'
b'Tadeusz Rydzyk'	b'duchowni'
b'Tadeusz Rydzyk'	b'duchowni'
