Name	Profession
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Ryszard Milewski'	b'sportowcy'
b'Ryszard Milewski'	b'sportowcy'
b'Ryszard Milewski'	b'sportowcy'
b'Ryszard Milewski'	b'sportowcy'
b'Ryszard Milewski'	b'sportowcy'
b'Ryszard Milewski'	b'sportowcy'
b'Ryszard Milewski'	b'sportowcy'
b'Ryszard Milewski'	b'sportowcy'
b'Ryszard Milewski'	b'sportowcy'
b'Antoni G\xc3\xb3rski'	b'prawnicy'
