Name	Profession
b'Janusz Palikot'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Zbigniew Ziobro'	b'prawnicy'
