Name	Profession
b'Bronis\xc5\x82aw Wildstein'	b'dziennikarze'
b'Micha\xc5\x82 Kobosko'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Ewa Stankiewicz'	b'dziennikarze'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
b'Stefan Niesio\xc5\x82owski'	b'politycy'
