Name	Profession
b'Marek Sawicki'	b'politycy'
b'Marek Sawicki'	b'politycy'
b'Marek Sawicki'	b'politycy'
b'Marek Sawicki'	b'politycy'
b'Marek Sawicki'	b'politycy'
b'Marek Sawicki'	b'politycy'
b'Marek Sawicki'	b'politycy'
b'Marek Sawicki'	b'politycy'
b'Marek Sawicki'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
