Name	Profession
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Pawe\xc5\x82 Olszewski'	b'politycy'
b'Waldemar Pawlak'	b'politycy'
b'Waldemar Pawlak'	b'politycy'
b'Waldemar Pawlak'	b'politycy'
b'Stanis\xc5\x82aw Kalemba'	b'politycy'
b'Stanis\xc5\x82aw Kalemba'	b'politycy'
b'Stanis\xc5\x82aw Kalemba'	b'politycy'
b'Stanis\xc5\x82aw Kalemba'	b'politycy'
b'Stanis\xc5\x82aw Kalemba'	b'politycy'
b'Stanis\xc5\x82aw Kalemba'	b'politycy'
b'Stanis\xc5\x82aw Kalemba'	b'politycy'
b'Stanis\xc5\x82aw Kalemba'	b'politycy'
b'Stanis\xc5\x82aw Kalemba'	b'politycy'
b'Stanis\xc5\x82aw Kalemba'	b'politycy'
b'Marek Sawicki'	b'politycy'
b'Zbigniew Ziobro'	b'prawnicy'
