Name	Profession
b'Marek Migalski'	b'politycy'
b'Marek Migalski'	b'politycy'
b'Marek Migalski'	b'politycy'
b'Marek Migalski'	b'politycy'
b'Marek Migalski'	b'politycy'
b'Marek Migalski'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Anna Grodzka'	b'politycy'
b'Anna Grodzka'	b'politycy'
b'Robert Biedro\xc5\x84'	b'politycy'
b'Agnieszka Radwa\xc5\x84ska'	b'sportowcy'
b'Jadwiga J\xc4\x99drzejowska'	b'sportowcy'
b'Serena Williams'	b'sportowcy'
b'Serena Williams'	b'sportowcy'
b'Monika Olejnik'	b'dziennikarze'
b'Monika Olejnik'	b'dziennikarze'
b'Monika Olejnik'	b'dziennikarze'
