Name	Profession
b'Leszek Miller'	b'politycy'
b'Leszek Miller'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Adam Hofman'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Janusz Palikot'	b'politycy'
b'Jaros\xc5\x82aw Gowin'	b'politycy'
b'Leszek Balcerowicz'	b'politycy'
b'Leszek Balcerowicz'	b'politycy'
b'Leszek Balcerowicz'	b'politycy'
b'Marek Biernacki'	b'politycy'
b'Antoni Macierewicz'	b'politycy'
b'Ma\xc5\x82gorzata Kidawa-B\xc5\x82o\xc5\x84ska'	b'politycy'
b'Rados\xc5\x82aw Sikorski'	b'politycy'
b'Zbigniew Ziobro'	b'prawnicy'
b'Lena Kolarska-Bobi\xc5\x84ska'	b'dziennikarze'
b'W\xc5\x82adys\xc5\x82aw Kosiniak-Kamysz'	b'lekarze'
