Name	Profession
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Andrzej Biernat'	b'politycy'
b'Andrzej Biernat'	b'politycy'
b'Andrzej Biernat'	b'politycy'
b'Andrzej Biernat'	b'politycy'
b'Andrzej Biernat'	b'politycy'
b'Andrzej Biernat'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Micha\xc5\x82 Boni'	b'politycy'
b'Joanna Mucha'	b'politycy'
b'Rados\xc5\x82aw Sikorski'	b'politycy'
b'Wies\xc5\x82aw W\xc5\x82adyka'	b'dziennikarze'
b'Wies\xc5\x82aw W\xc5\x82adyka'	b'dziennikarze'
b'Wies\xc5\x82aw W\xc5\x82adyka'	b'dziennikarze'
