Name	Profession
b'Ireneusz Ra\xc5\x9b'	b'politycy'
b'Damian Raczkowski'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Stanis\xc5\x82aw Gaw\xc5\x82owski'	b'politycy'
b'Tomasz Lenz'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Rafa\xc5\x82 Grupi\xc5\x84ski'	b'politycy'
b'Robert Tyszkiewicz'	b'politycy'
b'Robert Tyszkiewicz'	b'politycy'
b'Robert Tyszkiewicz'	b'politycy'
b'Zbigniew Rynasiewicz'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'S\xc5\x82awomir Nowak'	b'politycy'
b'Tomasz Tomczykiewicz'	b'politycy'
b'W\xc5\x82odzimierz Karpi\xc5\x84ski'	b'politycy'
b'Grzegorz Schetyna'	b'politycy'
