Name	Profession
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Donald Tusk'	b'politycy'
b'Andrzej Biernat'	b'politycy'
b'Krystyna Szumilas'	b'politycy'
b'Krystyna Szumilas'	b'politycy'
b'Krystyna Szumilas'	b'politycy'
b'Janusz Lewandowski'	b'politycy'
b'Micha\xc5\x82 Boni'	b'politycy'
b'Joanna Mucha'	b'politycy'
b'Joanna Mucha'	b'politycy'
b'Joanna Mucha'	b'politycy'
b'Bogdan Zdrojewski'	b'politycy'
b'Lena Kolarska-Bobi\xc5\x84ska'	b'dziennikarze'
